Central Pollution Control Board,,,,
LIST OF CAAQMS STATIONS              Date:14-04-2026,,,,
,,,,
S.No.,State,City,Station Name,Status
210,,Dharwad,"Kalabhavan, Dharwad - KSPCB",Live
211,,Gadag,"Panchal Nagar, Gadag - KSPCB",Inactive
212,,Hassan,"B.Katihalli, Hassan - KSPCB",Delay
213,,Haveri,"Ashwini Nagar, Haveri - KSPCB",Inactive
214,,,"Deshpande Nagar, Hubballi - KSPCB",Inactive
215,,,"Lingaraj Nagar, Hubballi - KSPCB",Live
216,,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",Delay
217,,Hubballi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",Live
218,,Karwar,"KHB Colony, Karwar - KSPCB",Live
219,,Kolar,"Tamaka Ind. Area, Kolar - KSPCB",Inactive
220,,Koppal,"Diwator Nagar, Koppal - KSPCB",Delay
221,,Madikeri,"Stuart Hill, Madikeri - KSPCB",Live
222,,Mangalore,"Kadri, Mangalore - KSPCB",Live
223,,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",Live
224,,Raichur,"Haji Colony, Raichur - KSPCB",Delay
225,,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",Live
226,,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",Live
227,,Tumakuru,"Thimmalapura, Tumakuru - KSPCB",Live
228,,Udupi,"Brahmagiri, Udupi - KSPCB",Delay
229,,Vijayapura,"Ibrahimpur, Vijayapura - KSPCB",Live
230,,Yadgir,"Collector Office, Yadgir - KSPCB",Live
231,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",Inactive
232,,Ernakulam,"Kacheripady, Ernakulam - Kerala PCB",Inactive
233,,Kannur,"Thavakkara, Kannur - Kerala PCB",Live
234,,Kochi,"Vyttila, Kochi - Kerala PCB",Inactive
235,,Kollam,"Polayathode, Kollam - Kerala PCB",Live
236,,Kozhikode,"Palayam, Kozhikode - Kerala PCB",Inactive
237,,,"Kariavattom, Thiruvananthapuram - Kerala PCB",Live
238,,,"Plammoodu, Thiruvananthapuram - Kerala PCB",Live
239,,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",Delay
240,Madhya Pradesh,Thiruvananthapuram,"Idgah Hills, Bhopal - MPPCB",Live
241,,,"Paryavaran Parisar, Bhopal - MPPCB",Live
242,,,"T T Nagar, Bhopal - MPPCB",Live
243,,Damoh,"Shrivastav Colony, Damoh - MPPCB",Live
244,,Dewas,"Bhopal Chauraha, Dewas - MPPCB",Live
245,,,"City Center, Gwalior - MPPCB",Live
246,,,"Deen Dayal Nagar, Gwalior - MPPCB",Live
247,,,"Maharaj Bada, Gwalior - MPPCB",Live
248,,Gwalior,"Phool Bagh, Gwalior - Mondelez Ind. Food",Inactive
249,,,"Airport Area, Indore - IMC",Live
250,,,"Chhoti Gwaltoli, Indore - MPPCB",Live
251,,,"Maguda Nagar, Indore - IMC",Live
252,,Indore,"Regional Park, Indore - IMC",Live
253,,,"Residency Area, Indore - IMC",Live
254,,,"Vijay Nagar Scheme-78, Indore - Glenmark",Live
255,,,"Govindh Bhavan Colony, Jabalpur - JMC",Live
256,,,"Gupteshwar, Jabalpur - JMC",Live
257,,,"Marhatal, Jabalpur - MPPCB",Live
258,,Jabalpur,"Suhagi, Jabalpur - JMC",Live
259,,Katni,"Gole Bazar, Katni - MPPCB",Live
260,,Maihar,"Sahilara, Maihar - KJS Cements",Delay
261,,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",Live
262,,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",Live
263,,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",Live
264,,,"Civil Lines, Sagar - MPPCB",Live
265,,,"Deen Dayal Nagar, Sagar - MPPCB",Live
266,,Satna,"Bandhavgar Colony, Satna - Birla Cement",Live
267,,Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB",Live
268,,,"Mahakaleshwar Temple, Ujjain - MPPCB",Inactive
269,,,"Mahashweta Nagar, Ujjain - MPPCB",Live
270,Maharashtra,Ahmednagar,"Tarakpur, Ahmednagar - MPCB",Live
271,,Akola,"Ramdaspeth, Akola - MPCB",Live
272,,Ambernath,"Chinchpada, Ambernath - MPCB",Live
273,,,"Shivneri Colony, Amravati - MPCB",Live
274,,,"Shri Shivaji Science College, Amravati - MPCB",Live
275,,,"MIDC Chilkalthana, Aurangabad - MPCB",Live
276,,Amravati,"More Chowk Waluj, Aurangabad - MPCB",Live
277,,,"Rachnakar Colony, Aurangabad - MPCB",Live
278,,Badlapur,"Katrap, Badlapur - MPCB",Live
279,,Beed,"Bir, Beed - MPCB",Live
280,,Belapur,"CBD Belapur, Belapur - MPCB",Live
281,,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB",Live
282,,Boisar,"Khaira, Boisar - MPCB",Live
283,,Chandrapur,"Chauhan Colony, Chandrapur - MPCB",Live
284,,,"MIDC Khutala, Chandrapur - MPCB",Live
285,,Dhule,"Deopur, Dhule - MPCB",Live
286,,Dombivli ,"Kalu Nagar, Dombivli - MPCB",Live
287,,Hingoli,"Ashta Vinayak Nagar, Hingoli - MPCB",Live
288,,Jalgaon,"Prabhat Colony, Jalgaon - MPCB",Live
289,,Jalna,"Old MIDC, Jalna - MPCB",Live
290,,Kalyan,"Khadakpada, Kalyan - MPCB",Live
291,,,"Pimpleshwar Mandir, Kalyan - MPCB",Live
292,,Kolhapur,"Shivaji University, Kolhapur - MPCB",Live
293,,,"Sinchan Bhavan, Kolhapur - MPCB",Delay
294,,Latur,"Sawe Wadi, Latur - MPCB",Live
295,,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",Live
296,,Malegaon,"Mahesh Nagar, Malegaon - MPCB",Delay
297,,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",Live
298,,Mumbai,"Bandra Kurla Complex, Mumbai - IITM",Live
299,,,"Bandra Kurla Complex, Mumbai - MPCB",Live
300,,,"Bandra, Mumbai - MPCB",Inactive
301,,,"Borivali East, Mumbai - IITM",Live
302,,,"Borivali East, Mumbai - MPCB",Live
303,,,"Byculla, Mumbai - BMC",Live
304,,,"Chakala-Andheri East, Mumbai - IITM",Live
305,,,"Chembur, Mumbai - MPCB",Live
306,,,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",Live
307,,,"Colaba, Mumbai - MPCB",Live
308,,,"Deonar, Mumbai - IITM",Live
309,,,"Ghatkopar, Mumbai - BMC",Live
310,,,"Kandivali East, Mumbai - MPCB",Live
311,,,"Kandivali West, Mumbai - BMC",Live
312,,,"Kherwadi_Bandra East, Mumbai - MPCB",Live
313,,,"Khindipada-Bhandup West, Mumbai - IITM",Live
314,,,"Kurla, Mumbai - MPCB",Live
315,,,"Malad West, Mumbai - IITM",Live
316,,,"Mazgaon, Mumbai - IITM",Live
317,,,"Mindspace-Malad West, Mumbai - MPCB",Live
318,,,"Mulund West, Mumbai - MPCB",Live
319,,,"Navy Nagar-Colaba, Mumbai - IITM",Live
320,,,"Powai, Mumbai - MPCB",Live
321,,,"Sewri, Mumbai - BMC",Live
322,,,"Shivaji Nagar, Mumbai - BMC",Live
323,,,"Siddharth Nagar-Worli, Mumbai - IITM",Live
324,,,"Sion, Mumbai - MPCB",Delay
325,,,"Vasai West, Mumbai - MPCB",Inactive
326,,,"Vile Parle West, Mumbai - MPCB",Live
327,,,"Worli, Mumbai -MPCB",Live
328,,Nagpur,"Ambazari, Nagpur - MPCB",Live
329,,,"Mahal, Nagpur - MPCB",Live
330,,,"Opp GPO Civil Lines, Nagpur - MPCB",Live
331,,,"Ram Nagar, Nagpur - MPCB",Live
332,,Nanded,"Sneh Nagar, Nanded - MPCB",Live
333,,Nashik,"Gangapur Road, Nashik - MPCB",Live
334,,,"Hirawadi, Nashik - MPCB",Live
335,,,"MIDC Ambad, Nashik - MPCB",Live
336,,,"Pandav Nagari, Nashik - MPCB",Live
337,,Navi Mumbai,"Airoli, Navi Mumbai - MPCB",Inactive
338,,,"Kopripada-Vashi, Navi Mumbai - MPCB",Live
339,,,"Mahape, Navi Mumbai - MPCB",Live
340,,,"Nerul, Navi Mumbai - MPCB",Live
341,,,"Sanpada, Navi Mumbai - MPCB",Live
342,,,"Sector-19A Nerul, Navi Mumbai - IITM",Inactive
343,,,"Sector-2E Kalamboli, Navi Mumbai - MPCB",Live
344,,,"Tondare-Taloja, Navi Mumbai - MPCB",Live
345,,Parbhani,"Masoom Colony, Parbhani - MPCB",Live
